Nombre,Tipo,Raza,Edad (años),Peso (kg)
Max,Perro,Labrador Retriever,3,30.0
Luna,Gato,Siamés,2,4.5
Rocky,Perro,Bulldog Francés,5,12.0
Kira,Otro,Conejo Enano,1,1.2
Simba,Gato,Persa,4,5.8
Toby,Perro,Golden Retriever,6,32.0
Nala,Gato,Bengalí,3,5.0
Coco,Perro,Chihuahua,2,2.5
Pelusa,Otro,Hámster Sirio,1,0.1
Thor,Perro,Pastor Alemán,7,38.0
Misha,Gato,Azul Ruso,4,4.2
Bruno,Perro,Boxer,5,28.0
Sasha,Otro,Cobaya,2,1.0
Oreo,Gato,Maine Coon,6,6.5
Zeus,Perro,Rottweiler,4,45.0
Canela,Gato,Angora Turco,3,4.8
Milo,Perro,Beagle,3,10.0
Duna,Otro,Tortuga de tierra,10,3.5
Bella,Gato,Esfinge,2,3.9
Tango,Perro,Cocker Spaniel,5,14.0
